arquivo,tamanho,n_peers,tempo
arq8.txt,2616,1,0.0195
arq8.txt,2616,1,0.0252
arq8.txt,2616,1,0.0450
arq8.txt,2616,2,0.0205
arq8.txt,2616,2,0.0327
arq8.txt,2616,2,0.0345
arq8.txt,2616,3,0.0153
arq8.txt,2616,3,0.0258
arq8.txt,2616,3,0.0268
arq8.txt,2616,4,0.0138
arq8.txt,2616,4,0.0235
arq8.txt,2616,4,0.0111
arq8.txt,2616,5,0.0111
arq8.txt,2616,5,0.0135
arq8.txt,2616,5,0.0237
arq8.txt,2616,6,0.0119
arq8.txt,2616,6,0.0263
arq8.txt,2616,6,0.0243
arq8.txt,2616,7,0.0134
arq8.txt,2616,7,0.0301
arq8.txt,2616,7,0.0283
arq8.txt,2616,8,0.0141
arq8.txt,2616,8,0.0291
arq8.txt,2616,8,0.0255
arq8.txt,2616,9,0.0119
arq8.txt,2616,9,0.0311
arq8.txt,2616,9,0.0268
vid.mp4,10836891,1,372.3704
vid.mp4,10836891,1,374.6571
vid.mp4,10836891,1,370.7602
